cast_popularity,major,actor_2_name,us,vote_average,actor_1_name,revenue,budget_binned,vote_count_binned,director_name,vote_average_binned,revenue_binned,macro_genre,vote_count,budget,actor_3_name,genres,title,original_language,cast_popularity_binned
42.050402999999974,0,Zoe Saldana,1,7.2,Sam Worthington,2787965087,high,great,James Cameron,great,high,action,11800,237000000,Sigourney Weaver,Action|Adventure|Fantasy|Science Fiction,Avatar,en,"(-0.176, 58.674]"
62.733221,1,Orlando Bloom,1,6.9,Johnny Depp,961000000,high,great,Gore Verbinski,ok,high,action,4500,300000000,Keira Knightley,Adventure|Fantasy|Action,Pirates of the Caribbean: At World's End,en,"(58.674, 117.348]"
51.326358999999975,1,Christoph Waltz,1,6.3,Daniel Craig,880674609,high,great,Sam Mendes,ok,high,action,4466,245000000,Léa Seydoux,Action|Adventure|Crime,Spectre,en,"(-0.176, 58.674]"
127.94788600000008,1,Michael Caine,1,7.6,Christian Bale,1084939099,high,great,Christopher Nolan,great,high,dark,9106,250000000,Gary Oldman,Action|Crime|Drama|Thriller,The Dark Knight Rises,en,"(117.348, 176.023]"
42.552218,1,Lynn Collins,1,6.1,Taylor Kitsch,284139100,high,great,Andrew Stanton,ok,high,action,2124,260000000,Samantha Morton,Action|Adventure|Science Fiction,John Carter,en,"(-0.176, 58.674]"
72.92823600000003,1,Kirsten Dunst,1,5.9,Tobey Maguire,890871626,high,great,Sam Raimi,ok,high,action,3576,258000000,James Franco,Fantasy|Action|Adventure,Spider-Man 3,en,"(58.674, 117.348]"
23.526713,1,Mandy Moore,1,7.4,Zachary Levi,591794936,high,great,Byron Howard,great,high,light,3330,260000000,Donna Murphy,Animation|Family,Tangled,en,"(-0.176, 58.674]"
176.02268099999998,0,Chris Hemsworth,1,7.3,Robert Downey Jr.,1405403694,high,great,Joss Whedon,great,high,action,6767,280000000,Mark Ruffalo,Action|Adventure|Science Fiction,Avengers: Age of Ultron,en,"(117.348, 176.023]"
78.12932100000005,1,Rupert Grint,1,7.4,Daniel Radcliffe,933959197,high,great,David Yates,great,high,action,5293,250000000,Emma Watson,Adventure|Fantasy|Family,Harry Potter and the Half-Blood Prince,en,"(58.674, 117.348]"
159.59305200000003,1,Henry Cavill,1,5.7,Ben Affleck,873260194,high,great,Zack Snyder,ok,high,action,7004,250000000,Gal Gadot,Action|Adventure|Fantasy,Batman v Superman: Dawn of Justice,en,"(117.348, 176.023]"
36.855046000000016,1,Kevin Spacey,1,5.4,Brandon Routh,391081192,high,great,Bryan Singer,ok,high,action,1400,270000000,Kate Bosworth,Adventure|Fantasy|Action|Science Fiction,Superman Returns,en,"(-0.176, 58.674]"
36.71606100000001,0,Olga Kurylenko,1,6.1,Daniel Craig,586090727,high,great,Marc Forster,ok,high,dark,2965,200000000,Mathieu Amalric,Adventure|Action|Thriller|Crime,Quantum of Solace,en,"(-0.176, 58.674]"
60.04121700000001,1,Orlando Bloom,1,7.0,Johnny Depp,1065659812,high,great,Gore Verbinski,ok,high,action,5246,200000000,Keira Knightley,Adventure|Fantasy|Action,Pirates of the Caribbean: Dead Man's Chest,en,"(58.674, 117.348]"
45.75967000000001,1,Armie Hammer,1,5.9,Johnny Depp,89289910,high,great,Gore Verbinski,ok,avg,action,2311,255000000,William Fichtner,Action|Adventure|Western,The Lone Ranger,en,"(-0.176, 58.674]"
91.835391,1,Amy Adams,1,6.5,Henry Cavill,662845518,high,great,Zack Snyder,ok,high,action,6359,225000000,Michael Shannon,Action|Adventure|Fantasy|Science Fiction,Man of Steel,en,"(58.674, 117.348]"
35.449567000000016,1,William Moseley,1,6.3,Ben Barnes,419651413,high,great,Andrew Adamson,ok,high,action,1630,225000000,Anna Popplewell,Adventure|Family|Fantasy,The Chronicles of Narnia: Prince Caspian,en,"(-0.176, 58.674]"
164.0966219999999,1,Chris Evans,1,7.4,Robert Downey Jr.,1519557910,high,great,Joss Whedon,great,high,action,11776,220000000,Mark Ruffalo,Science Fiction|Action|Adventure,The Avengers,en,"(117.348, 176.023]"
46.074147,1,Penélope Cruz,1,6.4,Johnny Depp,1045713802,high,great,Rob Marshall,ok,high,action,4948,380000000,Ian McShane,Adventure|Action|Fantasy,Pirates of the Caribbean: On Stranger Tides,en,"(-0.176, 58.674]"
42.984606,0,Tommy Lee Jones,1,6.2,Will Smith,624026776,high,great,Barry Sonnenfeld,ok,high,action,4160,225000000,Josh Brolin,Action|Comedy|Science Fiction,Men in Black 3,en,"(-0.176, 58.674]"
97.00590000000004,1,Ian McKellen,1,7.1,Martin Freeman,956019788,high,great,Peter Jackson,great,high,action,4760,250000000,Richard Armitage,Action|Adventure|Fantasy,The Hobbit: The Battle of the Five Armies,en,"(58.674, 117.348]"
47.148557000000025,1,Emma Stone,1,6.5,Andrew Garfield,752215857,high,great,Marc Webb,ok,high,action,6586,215000000,Rhys Ifans,Action|Adventure|Fantasy,The Amazing Spider-Man,en,"(-0.176, 58.674]"
68.672126,1,Cate Blanchett,1,6.2,Russell Crowe,310669540,high,great,Ridley Scott,ok,high,action,1398,200000000,Max von Sydow,Action|Adventure,Robin Hood,en,"(58.674, 117.348]"
89.001855,1,Ian McKellen,1,7.6,Martin Freeman,958400000,high,great,Peter Jackson,great,high,action,4524,250000000,Richard Armitage,Adventure|Fantasy,The Hobbit: The Desolation of Smaug,en,"(58.674, 117.348]"
54.16582100000001,0,Nicole Kidman,1,5.8,Dakota Blue Richards,372234864,high,great,Chris Weitz,ok,high,action,1303,180000000,Daniel Craig,Adventure|Fantasy,The Golden Compass,en,"(-0.176, 58.674]"
